RAW 143 person  Left=1605, Top=756, Right=1622, Bottom=800

RAW 143 person  Left=1397, Top=767, Right=1423, Bottom=811

RAW 144 person  Left=1605, Top=758, Right=1621, Bottom=800

RAW 145 person  Left=1605, Top=758, Right=1621, Bottom=800

RAW 145 person  Left=1640, Top=755, Right=1654, Bottom=792

RAW 146 person  Left=1605, Top=759, Right=1622, Bottom=798

RAW 147 person  Left=1605, Top=757, Right=1621, Bottom=799

RAW 147 person  Left=1397, Top=774, Right=1420, Bottom=823

RAW 148 person  Left=1605, Top=758, Right=1622, Bottom=799

RAW 148 person  Left=1396, Top=774, Right=1420, Bottom=823

RAW 149 person  Left=1396, Top=774, Right=1419, Bottom=824

RAW 149 person  Left=1605, Top=756, Right=1622, Bottom=798

RAW 150 person  Left=1605, Top=758, Right=1621, Bottom=797

RAW 150 person  Left=1398, Top=768, Right=1423, Bottom=809

RAW 151 person  Left=1397, Top=767, Right=1422, Bottom=810

RAW 154 person  Left=1603, Top=758, Right=1621, Bottom=798

RAW 154 person  Left=1395, Top=772, Right=1421, Bottom=824

RAW 155 person  Left=1396, Top=773, Right=1421, Bottom=824

RAW 159 person  Left=1395, Top=774, Right=1422, Bottom=825

RAW 160 person  Left=1395, Top=767, Right=1425, Bottom=812

RAW 163 person  Left=1396, Top=767, Right=1425, Bottom=812

RAW 164 person  Left=1397, Top=765, Right=1425, Bottom=814

RAW 165 person  Left=1397, Top=767, Right=1424, Bottom=812

RAW 167 person  Left=1397, Top=767, Right=1423, Bottom=812

RAW 168 person  Left=1396, Top=767, Right=1424, Bottom=810

RAW 169 person  Left=1397, Top=767, Right=1424, Bottom=811

RAW 171 person  Left=1398, Top=767, Right=1423, Bottom=811

RAW 172 person  Left=1398, Top=766, Right=1422, Bottom=812

RAW 178 person  Left=1397, Top=774, Right=1419, Bottom=823

RAW 179 person  Left=1397, Top=767, Right=1424, Bottom=812

RAW 180 person  Left=1396, Top=773, Right=1420, Bottom=825

RAW 181 person  Left=1397, Top=774, Right=1421, Bottom=824

RAW 184 person  Left=1396, Top=766, Right=1425, Bottom=812

RAW 186 person  Left=1398, Top=773, Right=1420, Bottom=824

RAW 187 person  Left=1397, Top=773, Right=1420, Bottom=824

RAW 189 person  Left=1397, Top=774, Right=1421, Bottom=823

RAW 190 person  Left=1397, Top=768, Right=1424, Bottom=811

RAW 191 person  Left=936, Top=542, Right=953, Bottom=575

RAW 192 person  Left=1397, Top=767, Right=1423, Bottom=811

RAW 194 person  Left=1397, Top=766, Right=1424, Bottom=813

RAW 196 person  Left=1397, Top=766, Right=1424, Bottom=813

RAW 198 person  Left=1397, Top=767, Right=1424, Bottom=811

RAW 199 person  Left=1396, Top=766, Right=1424, Bottom=812

RAW 201 person  Left=1397, Top=773, Right=1420, Bottom=824

RAW 203 person  Left=1395, Top=771, Right=1421, Bottom=825

RAW 204 person  Left=1396, Top=774, Right=1421, Bottom=824

RAW 206 person  Left=1395, Top=766, Right=1426, Bottom=812

RAW 207 person  Left=1394, Top=775, Right=1421, Bottom=825

