RAW 19666 person  Left=693, Top=254, Right=723, Bottom=294

RAW 19667 person  Left=693, Top=255, Right=724, Bottom=294

RAW 19667 person  Left=652, Top=254, Right=679, Bottom=294

RAW 19669 person  Left=698, Top=254, Right=728, Bottom=294

RAW 19669 person  Left=658, Top=255, Right=684, Bottom=297

RAW 19763 person  Left=335, Top=244, Right=361, Bottom=283

RAW 19765 person  Left=335, Top=245, Right=360, Bottom=285

RAW 19806 person  Left=610, Top=254, Right=637, Bottom=295

RAW 19806 person  Left=336, Top=228, Right=360, Bottom=275

RAW 19807 person  Left=286, Top=254, Right=331, Bottom=297

RAW 19807 person  Left=336, Top=226, Right=361, Bottom=275

RAW 19813 person  Left=626, Top=257, Right=674, Bottom=349

RAW 19814 person  Left=629, Top=253, Right=675, Bottom=319

RAW 19831 person  Left=316, Top=227, Right=344, Bottom=274

RAW 19846 person  Left=296, Top=234, Right=326, Bottom=283

RAW 19969 person  Left=639, Top=247, Right=664, Bottom=281

RAW 19970 person  Left=692, Top=256, Right=731, Bottom=293

RAW 19970 person  Left=641, Top=247, Right=665, Bottom=281

RAW 22886 person  Left=25, Top=202, Right=40, Bottom=225

RAW 23448 person  Left=830, Top=212, Right=856, Bottom=260

RAW 23448 person  Left=797, Top=217, Right=828, Bottom=259

RAW 23918 person  Left=238, Top=286, Right=259, Bottom=345

RAW 23920 person  Left=227, Top=285, Right=245, Bottom=346

RAW 23920 person  Left=233, Top=285, Right=256, Bottom=347

RAW 23921 person  Left=224, Top=284, Right=243, Bottom=348

RAW 23922 person  Left=221, Top=290, Right=242, Bottom=356

RAW 23924 person  Left=208, Top=289, Right=230, Bottom=354

RAW 23925 person  Left=197, Top=283, Right=233, Bottom=374

RAW 23927 person  Left=187, Top=292, Right=204, Bottom=360

RAW 23927 person  Left=196, Top=293, Right=219, Bottom=359

RAW 24950 person  Left=380, Top=223, Right=420, Bottom=307

RAW 24967 person  Left=486, Top=229, Right=529, Bottom=302

RAW 24996 person  Left=712, Top=236, Right=766, Bottom=337

RAW 25471 person  Left=482, Top=240, Right=538, Bottom=361

RAW 25490 person  Left=381, Top=240, Right=420, Bottom=363

RAW 25493 person  Left=362, Top=249, Right=413, Bottom=374

RAW 25494 person  Left=364, Top=239, Right=413, Bottom=377

RAW 25657 person  Left=422, Top=273, Right=457, Bottom=390

RAW 25696 person  Left=586, Top=263, Right=604, Bottom=293

RAW 26384 person  Left=369, Top=223, Right=403, Bottom=321

RAW 26385 person  Left=374, Top=229, Right=408, Bottom=320

RAW 26386 person  Left=375, Top=228, Right=412, Bottom=320

RAW 26387 person  Left=377, Top=230, Right=414, Bottom=321

RAW 26390 person  Left=390, Top=225, Right=425, Bottom=323

RAW 26391 person  Left=393, Top=228, Right=428, Bottom=327

RAW 26394 person  Left=402, Top=222, Right=441, Bottom=329

RAW 26402 person  Left=433, Top=228, Right=467, Bottom=336

RAW 26407 person  Left=449, Top=238, Right=488, Bottom=334

RAW 26408 person  Left=457, Top=232, Right=491, Bottom=336

RAW 26410 person  Left=466, Top=229, Right=501, Bottom=334

RAW 26410 person  Left=539, Top=205, Right=561, Bottom=267

RAW 26411 person  Left=466, Top=221, Right=506, Bottom=342

RAW 26412 person  Left=470, Top=236, Right=509, Bottom=339

RAW 26412 person  Left=380, Top=221, Right=418, Bottom=340

RAW 26417 person  Left=493, Top=226, Right=532, Bottom=339

RAW 26417 person  Left=393, Top=218, Right=435, Bottom=338

RAW 26418 person  Left=495, Top=225, Right=539, Bottom=346

RAW 26419 person  Left=503, Top=222, Right=543, Bottom=345

RAW 26420 person  Left=506, Top=231, Right=546, Bottom=346

RAW 26421 person  Left=524, Top=226, Right=556, Bottom=341

RAW 26423 person  Left=530, Top=220, Right=566, Bottom=349

RAW 26423 person  Left=429, Top=259, Right=465, Bottom=344

RAW 26424 person  Left=522, Top=228, Right=570, Bottom=348

RAW 26425 person  Left=541, Top=216, Right=578, Bottom=351

RAW 26426 person  Left=549, Top=225, Right=588, Bottom=351

RAW 26426 person  Left=444, Top=218, Right=484, Bottom=338

RAW 26428 person  Left=555, Top=215, Right=598, Bottom=353

RAW 26429 person  Left=569, Top=221, Right=604, Bottom=352

RAW 26430 person  Left=569, Top=217, Right=614, Bottom=353

RAW 26430 person  Left=464, Top=207, Right=507, Bottom=344

RAW 26431 person  Left=574, Top=220, Right=621, Bottom=353

RAW 26432 person  Left=580, Top=224, Right=624, Bottom=352

RAW 26436 person  Left=610, Top=220, Right=660, Bottom=359

RAW 26437 person  Left=621, Top=229, Right=663, Bottom=365

RAW 26439 person  Left=639, Top=225, Right=683, Bottom=370

RAW 26442 person  Left=654, Top=230, Right=703, Bottom=374

RAW 26443 person  Left=665, Top=227, Right=717, Bottom=375

RAW 26444 person  Left=675, Top=227, Right=724, Bottom=375

RAW 26444 person  Left=553, Top=215, Right=590, Bottom=358

RAW 26445 person  Left=686, Top=224, Right=735, Bottom=383

RAW 26446 person  Left=781, Top=220, Right=793, Bottom=261

RAW 26447 person  Left=701, Top=227, Right=753, Bottom=381

RAW 26448 person  Left=712, Top=226, Right=763, Bottom=389

RAW 26453 person  Left=757, Top=219, Right=824, Bottom=403

RAW 26456 person  Left=789, Top=217, Right=854, Bottom=404

RAW 26457 person  Left=805, Top=219, Right=870, Bottom=406

RAW 26462 person  Left=864, Top=210, Right=927, Bottom=417

RAW 26463 person  Left=877, Top=202, Right=950, Bottom=423

RAW 26468 person  Left=70, Top=260, Right=94, Bottom=318

RAW 26524 person  Left=616, Top=257, Right=642, Bottom=317

RAW 27216 person  Left=576, Top=278, Right=601, Bottom=320

RAW 27567 person  Left=701, Top=321, Right=747, Bottom=437

RAW 27576 person  Left=824, Top=329, Right=859, Bottom=447

RAW 30075 person  Left=312, Top=288, Right=334, Bottom=357

RAW 30081 person  Left=335, Top=287, Right=352, Bottom=364

RAW 30093 person  Left=371, Top=299, Right=388, Bottom=379

RAW 30177 person  Left=688, Top=228, Right=709, Bottom=294

RAW 30337 person  Left=651, Top=128, Right=672, Bottom=173

RAW 31590 person  Left=422, Top=229, Right=446, Bottom=262

RAW 31732 person  Left=244, Top=262, Right=276, Bottom=394

RAW 31772 person  Left=23, Top=392, Right=67, Bottom=523

RAW 31897 person  Left=388, Top=228, Right=441, Bottom=330

RAW 31897 person  Left=626, Top=218, Right=645, Bottom=280

RAW 35826 person  Left=579, Top=250, Right=597, Bottom=301

RAW 35827 person  Left=578, Top=252, Right=599, Bottom=296

RAW 36092 person  Left=14, Top=173, Right=53, Bottom=283

RAW 36361 person  Left=207, Top=327, Right=233, Bottom=399

RAW 36361 person  Left=160, Top=321, Right=185, Bottom=375

RAW 36639 person  Left=238, Top=302, Right=259, Bottom=369

RAW 36739 person  Left=220, Top=192, Right=244, Bottom=258

RAW 38395 person  Left=118, Top=317, Right=169, Bottom=438

RAW 38967 person  Left=810, Top=115, Right=882, Bottom=279

RAW 39144 person  Left=170, Top=144, Right=189, Bottom=195

RAW 43028 person  Left=60, Top=201, Right=80, Bottom=263

