RAW 212 person  Left=620, Top=546, Right=663, Bottom=674

RAW 213 person  Left=616, Top=544, Right=662, Bottom=676

RAW 214 person  Left=613, Top=544, Right=660, Bottom=675

RAW 215 person  Left=609, Top=540, Right=660, Bottom=681

RAW 216 person  Left=603, Top=541, Right=651, Bottom=678

RAW 216 person  Left=1575, Top=555, Right=1624, Bottom=632

RAW 217 person  Left=601, Top=540, Right=651, Bottom=682

RAW 217 person  Left=1579, Top=547, Right=1625, Bottom=627

RAW 218 person  Left=597, Top=539, Right=648, Bottom=682

RAW 218 person  Left=1581, Top=556, Right=1631, Bottom=630

RAW 218 person  Left=1563, Top=540, Right=1600, Bottom=631

RAW 219 person  Left=594, Top=540, Right=642, Bottom=684

RAW 219 person  Left=1585, Top=554, Right=1633, Bottom=634

RAW 219 person  Left=1566, Top=543, Right=1602, Bottom=628

RAW 220 person  Left=589, Top=539, Right=638, Bottom=684

RAW 220 person  Left=1582, Top=551, Right=1634, Bottom=635

RAW 221 person  Left=586, Top=539, Right=633, Bottom=686

RAW 221 person  Left=1601, Top=550, Right=1641, Bottom=637

RAW 221 person  Left=1581, Top=545, Right=1618, Bottom=628

RAW 222 person  Left=1600, Top=550, Right=1645, Bottom=642

RAW 222 person  Left=581, Top=554, Right=625, Bottom=693

RAW 223 person  Left=1606, Top=549, Right=1646, Bottom=638

RAW 223 person  Left=577, Top=553, Right=621, Bottom=697

RAW 224 person  Left=1608, Top=550, Right=1651, Bottom=644

RAW 224 person  Left=574, Top=552, Right=614, Bottom=695

RAW 225 person  Left=571, Top=549, Right=610, Bottom=697

RAW 225 person  Left=1608, Top=555, Right=1655, Bottom=639

RAW 226 person  Left=1616, Top=556, Right=1659, Bottom=645

RAW 226 person  Left=565, Top=541, Right=610, Bottom=702

RAW 227 person  Left=560, Top=544, Right=607, Bottom=704

RAW 227 person  Left=1618, Top=553, Right=1658, Bottom=642

RAW 228 person  Left=1625, Top=553, Right=1668, Bottom=645

RAW 228 person  Left=556, Top=540, Right=595, Bottom=704

RAW 229 person  Left=1627, Top=554, Right=1673, Bottom=647

RAW 229 person  Left=552, Top=547, Right=591, Bottom=700

RAW 230 person  Left=1627, Top=557, Right=1676, Bottom=649

RAW 231 person  Left=1629, Top=559, Right=1678, Bottom=652

RAW 231 person  Left=541, Top=557, Right=581, Bottom=701

RAW 232 person  Left=1628, Top=557, Right=1681, Bottom=652

RAW 233 person  Left=1628, Top=557, Right=1685, Bottom=652

RAW 234 person  Left=1633, Top=553, Right=1687, Bottom=654

RAW 234 person  Left=524, Top=552, Right=561, Bottom=709

RAW 235 person  Left=1652, Top=555, Right=1693, Bottom=653

RAW 235 person  Left=520, Top=560, Right=555, Bottom=707

RAW 235 person  Left=1631, Top=554, Right=1673, Bottom=654

RAW 236 person  Left=1653, Top=558, Right=1697, Bottom=651

RAW 236 person  Left=1632, Top=560, Right=1669, Bottom=655

RAW 237 person  Left=1656, Top=562, Right=1703, Bottom=652

RAW 237 person  Left=1632, Top=562, Right=1670, Bottom=656

RAW 238 person  Left=1661, Top=560, Right=1705, Bottom=650

RAW 238 person  Left=915, Top=550, Right=930, Bottom=596

RAW 240 person  Left=1672, Top=554, Right=1720, Bottom=650

RAW 240 person  Left=919, Top=552, Right=933, Bottom=594

RAW 241 person  Left=1678, Top=555, Right=1725, Bottom=650

RAW 242 person  Left=1682, Top=554, Right=1728, Bottom=653

RAW 242 person  Left=1655, Top=552, Right=1698, Bottom=649

RAW 243 person  Left=1684, Top=553, Right=1732, Bottom=649

RAW 250 person  Left=446, Top=566, Right=486, Bottom=742

RAW 250 person  Left=917, Top=554, Right=931, Bottom=592

RAW 252 person  Left=427, Top=553, Right=473, Bottom=744

RAW 253 person  Left=411, Top=559, Right=471, Bottom=742

RAW 254 person  Left=395, Top=554, Right=462, Bottom=751

RAW 255 person  Left=381, Top=554, Right=454, Bottom=757

RAW 256 person  Left=373, Top=555, Right=444, Bottom=760

RAW 257 person  Left=367, Top=552, Right=432, Bottom=767

RAW 258 person  Left=358, Top=553, Right=424, Bottom=769

RAW 259 person  Left=340, Top=547, Right=419, Bottom=779

RAW 259 person  Left=585, Top=561, Right=620, Bottom=702

RAW 260 person  Left=331, Top=552, Right=413, Bottom=778

RAW 260 person  Left=582, Top=564, Right=620, Bottom=703

RAW 261 person  Left=322, Top=553, Right=410, Bottom=781

RAW 262 person  Left=313, Top=557, Right=404, Bottom=784

RAW 263 person  Left=304, Top=558, Right=390, Bottom=791

RAW 264 person  Left=297, Top=562, Right=381, Bottom=792

RAW 265 person  Left=282, Top=563, Right=375, Bottom=793

RAW 266 person  Left=267, Top=562, Right=370, Bottom=801

RAW 267 person  Left=257, Top=561, Right=362, Bottom=804

RAW 268 person  Left=242, Top=557, Right=349, Bottom=816

RAW 269 person  Left=233, Top=557, Right=340, Bottom=816

RAW 270 person  Left=213, Top=564, Right=331, Bottom=829

RAW 270 person  Left=585, Top=551, Right=608, Bottom=607

RAW 271 person  Left=200, Top=564, Right=322, Bottom=830

